"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"New Jersey","1.0","2.0","34.0","4929728.0","1433004.0","66651.0","997918.0","1943632.0","533003.0","1435350.0","1376171.0","2348014.0","3376293.0","9068831.0","-41956.0","34587.0","433.0","3692.0","40798.0","26939.0","-4497.0","10194.0","45626.0","-47366.0","30896.0","New Jersey","-0.008510814389759435","0.024136010785734026","0.006496526683770686","0.0036997027811904383","0.020990599043440323","0.05054192940752679","-0.003133033754833316","0.007407509677213079","0.0194317410373192","-0.014028995706237581","0.003406833802504424"
"New Mexico","4.0","8.0","35.0","784486.0","63457.0","236323.0","49203.0","1032907.0","126018.0","349456.0","340312.0","505887.0","770091.0","2091764.0","-7457.0","1428.0","536.0","97.0","15669.0","6556.0","-507.0","3217.0","10094.0","-9991.0","9369.0","New Mexico","-0.00950558709779397","0.02250342751784673","0.0022680822433703025","0.0019714245066357744","0.015169807155920137","0.05202431398689076","-0.0014508264273613845","0.009453090105550201","0.019953072524101233","-0.01297379140906724","0.004478994762315443"
"New York","1.0","2.0","36.0","10969364.0","3690087.0","224611.0","1994445.0","3898833.0","1183659.0","2934515.0","3308869.0","5152211.0","7278606.0","19857860.0","-50799.0","99760.0","2097.0","14265.0","94983.0","63439.0","-814.0","34498.0","115186.0","-74642.0","137667.0","New York","-0.004630988633433989","0.0270345929513315","0.009336141150700545","0.007152365695719862","0.02436190521625317","0.05359567240227126","-0.0002773882566625149","0.010425918946927184","0.022356615441409523","-0.01025498563873357","0.0069326201312729565"
"North Carolina","3.0","5.0","37.0","6715370.0","2438985.0","181341.0","386922.0","1055894.0","636726.0","1694457.0","1717685.0","2695123.0","3863475.0","10607466.0","-49760.0","56233.0","642.0","2147.0","22073.0","31855.0","-5684.0","12731.0","46704.0","-57711.0","27895.0","North Carolina","-0.007409867215060376","0.023055902352823","0.003540291495028703","0.005548922004951902","0.020904560495655814","0.05002936899074327","-0.003354466947228522","0.007411719843859613","0.017329079229408084","-0.014937588569875565","0.0026297515353808348"
"North Dakota","2.0","4.0","38.0","644856.0","29318.0","43057.0","15998.0","29649.0","55106.0","124522.0","139795.0","183834.0","255085.0","758342.0","-4132.0","965.0","271.0","131.0","597.0","2272.0","-1546.0","279.0","1956.0","-5204.0","-2243.0","North Dakota","-0.0064076320915057005","0.03291493280578484","0.006293982395429314","0.008188523565445681","0.020135586360416877","0.0412296301673139","-0.01241547678321903","0.0019957795343181085","0.010640033943666569","-0.02040104278965835","-0.0029577683947348294"
"Ohio","2.0","3.0","39.0","9350215.0","1641377.0","50137.0","337815.0","477819.0","721455.0","1884557.0","1871259.0","2881170.0","4425469.0","11783910.0","-66923.0","40508.0","283.0","2074.0","9891.0","32594.0","-14731.0","6729.0","38649.0","-79010.0","-15769.0","Ohio","-0.007157375525589519","0.024679278435118805","0.005644533976903285","0.006139455027159836","0.020700307020022225","0.045178146939171535","-0.00781669113749279","0.0035959746886988922","0.013414342090192526","-0.017853474965026307","-0.0013381806208635333"
"Oklahoma","3.0","7.0","40.0","2709948.0","350319.0","409606.0","113742.0","445578.0","269321.0","692044.0","656668.0","988228.0","1357255.0","3963516.0","-16280.0","8692.0","1618.0","623.0","8604.0","12490.0","-4300.0","3107.0","14524.0","-23587.0","2234.0","Oklahoma","-0.006007495346774181","0.02481167164784097","0.00395013744915846","0.005477308294209703","0.019309750481397197","0.046375886024483795","-0.006213477755749634","0.00473146247418787","0.014697013239859627","-0.01737845872735779","0.0005636409692808103"
"Oregon","4.0","9.0","41.0","3305784.0","119633.0","95337.0","259000.0","584955.0","245347.0","645129.0","674688.0","1157080.0","1583823.0","4306067.0","-18525.0","3100.0","641.0","1401.0","11816.0","11177.0","-4700.0","3262.0","16397.0","-28696.0","-2560.0","Oregon","-0.005603814405296898","0.025912582648600302","0.006723517626944418","0.005409266409266409","0.02019984443247771","0.04555588615308115","-0.007285364632499856","0.004834827357237716","0.014171016697203305","-0.01811818618620894","-0.0005945100250414125"
"Pennsylvania","1.0","2.0","42.0","9810406.0","1647936.0","64718.0","540388.0","1038386.0","725727.0","1937138.0","2001707.0","3151829.0","5058890.0","12875291.0","-87173.0","36984.0","298.0","1942.0","19974.0","32269.0","-16317.0","5142.0","40303.0","-93956.0","-32559.0","Pennsylvania","-0.008885768845856125","0.022442619130840034","0.0046045922309094845","0.0035937141461320384","0.019235621435574054","0.04446437847840855","-0.00842325120874197","0.002568807522779308","0.012787178492234192","-0.01857245364101611","-0.0025287972132047344"
"Rhode Island","1.0","1.0","44.0","767268.0","102892.0","13716.0","46162.0","177815.0","56674.0","148788.0","185697.0","263623.0","412062.0","1066844.0","-5617.0","2679.0","152.0","371.0","3813.0","2781.0","-612.0","893.0","4295.0","-6899.0","458.0","Rhode Island","-0.007320779701486312","0.02603700968005287","0.011081948089822106","0.008036913478618778","0.021443635238871862","0.04907012033736811","-0.004113234938301476","0.00480890913692736","0.016292205156606215","-0.01674262610966311","0.00042930362827179984"
"South Carolina","3.0","5.0","45.0","3363455.0","1431874.0","34729.0","110233.0","314823.0","308271.0","819923.0","819268.0","1278488.0","1981825.0","5207775.0","-27836.0","30466.0","172.0","308.0","6179.0","15109.0","-3170.0","5310.0","21408.0","-30299.0","8358.0","South Carolina","-0.00827601380128469","0.021277011804111255","0.004952633245990382","0.002794081627098963","0.019626901465267785","0.04901207054831625","-0.003866216705715049","0.006481395587280353","0.01674477977110462","-0.015288433640709951","0.0016049080461425465"
