"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Pennsylvania","1.0","2.0","42.0","9810406.0","1647936.0","64718.0","540388.0","1038386.0","725727.0","1937138.0","2001707.0","3151829.0","5058890.0","12875291.0","-43188.0","51002.0","850.0","4783.0","29080.0","37583.0","-7875.0","12041.0","56222.0","-61934.0","36037.0","Pennsylvania","-0.0044022642895717055","0.030949017437570392","0.013133904014339132","0.008851047765679475","0.02800500006741231","0.05178669113867887","-0.0040652756798947726","0.006015365885216967","0.01783789666254102","-0.012242606579704243","0.0027989270300764466"
"Rhode Island","1.0","1.0","44.0","767268.0","102892.0","13716.0","46162.0","177815.0","56674.0","148788.0","185697.0","263623.0","412062.0","1066844.0","-2522.0","3483.0","246.0","574.0","5115.0","3173.0","-27.0","1485.0","5501.0","-4474.0","5658.0","Rhode Island","-0.003286987076223692","0.03385102826264433","0.017935258092738406","0.012434469910315844","0.028765852149706155","0.05598687228711578","-0.00018146624727800629","0.007996898172829933","0.02086691980593499","-0.010857589391887629","0.005303493294239832"
"South Carolina","3.0","5.0","45.0","3363455.0","1431874.0","34729.0","110233.0","314823.0","308271.0","819923.0","819268.0","1278488.0","1981825.0","5207775.0","-13172.0","42957.0","458.0","921.0","9036.0","17530.0","716.0","8519.0","28486.0","-16385.0","38866.0","South Carolina","-0.003916211157871891","0.030000544740668524","0.013187825736416251","0.008355029800513458","0.028701841987402447","0.05686555011661817","0.0008732527322687618","0.010398306781175391","0.02228100693944722","-0.008267632106770275","0.00746307204132283"
"South Dakota","2.0","4.0","46.0","742865.0","25324.0","81588.0","17141.0","35499.0","63870.0","157758.0","140895.0","211483.0","320943.0","894949.0","-2696.0","941.0","1224.0","225.0","991.0","3015.0","-1257.0","456.0","3057.0","-4742.0","529.0","South Dakota","-0.0036291923835420972","0.03715842678881693","0.015002206206795116","0.013126422029053147","0.027916279331812163","0.04720526068576797","-0.007967900201574564","0.003236452677525817","0.014455062581862372","-0.014775209305079095","0.0005910951350300408"
"Tennessee","3.0","6.0","47.0","5140798.0","1216997.0","43750.0","156336.0","404606.0","426872.0","1105185.0","1115594.0","1753800.0","2512634.0","6914085.0","-12978.0","39362.0","572.0","1601.0","12014.0","23215.0","-2053.0","9343.0","35194.0","-26495.0","39204.0","Tennessee","-0.002524510786068622","0.032343547272507656","0.013074285714285714","0.010240763483778528","0.029693084136171978","0.054383983957720344","-0.0018576075498672167","0.00837491058575073","0.020067282472345762","-0.010544711247240943","0.00567016459878639"
"Texas","3.0","7.0","48.0","12218162.0","3943571.0","344741.0","1681923.0","11762733.0","2083628.0","5427175.0","5021700.0","7961993.0","8874454.0","29368950.0","-28134.0","129728.0","4788.0","15417.0","331068.0","130080.0","34619.0","83203.0","223317.0","-34030.0","437189.0","Texas","-0.0023026376635045436","0.03289607312762975","0.01388868744941855","0.00916629358181082","0.028145499859598955","0.062429569961624624","0.006378825079346068","0.016568691877252722","0.02804787695744018","-0.003834602106225352","0.014886095689495199"
"Utah","4.0","8.0","49.0","2581240.0","59418.0","55170.0","143007.0","470334.0","262292.0","684650.0","623694.0","856185.0","841668.0","3268489.0","-4143.0","2005.0","773.0","1906.0","13192.0","12851.0","-5025.0","2518.0","13653.0","-11256.0","12741.0","Utah","-0.0016050425376950613","0.033743983304722475","0.014011237991662135","0.013328018908165335","0.028048153014666174","0.048995013191405","-0.007339516541298474","0.004037236208781871","0.015946320012614097","-0.013373444160880538","0.0038981315219356713"
"Vermont","1.0","1.0","50.0","585456.0","11397.0","3918.0","13944.0","13475.0","30303.0","85024.0","102329.0","144872.0","264042.0","626570.0","-2585.0","343.0","37.0","130.0","368.0","1358.0","-929.0","65.0","1821.0","-4065.0","-1750.0","Vermont","-0.004415361700964718","0.030095639203299114","0.009443593670239918","0.009323006310958119","0.027309833024118737","0.044814044814044815","-0.010926326684230336","0.0006352060510705665","0.012569716715445359","-0.015395278023950736","-0.002792984024131382"
"Virginia","3.0","5.0","51.0","5357512.0","1801932.0","60964.0","669485.0","857771.0","529221.0","1354469.0","1410148.0","2263147.0","3069683.0","8626668.0","-16147.0","56011.0","794.0","5357.0","24986.0","29623.0","-753.0","13996.0","50327.0","-25685.0","67508.0","Virginia","-0.0030138989889336694","0.031083858880357307","0.013024079784791025","0.008001672927698156","0.02912898664095662","0.0559747251148386","-0.0005559374190180802","0.009925199340778415","0.02223761867876899","-0.008367313497843263","0.007825501108887"
"Washington","4.0","9.0","53.0","5398885.0","405341.0","172532.0","872707.0","1022632.0","482957.0","1220722.0","1251018.0","2121949.0","2674026.0","7750672.0","-8596.0","13946.0","2409.0","9182.0","29879.0","25643.0","-2769.0","10566.0","41216.0","-30934.0","43722.0","Washington","-0.001592180607662508","0.03440559923619866","0.013962627222776065","0.010521286067374274","0.029217744017398243","0.05309582426592844","-0.002268329726178442","0.008445921641415232","0.019423652500602042","-0.011568324316966253","0.005641059252668672"
"West Virginia","3.0","5.0","54.0","1660913.0","73627.0","7481.0","17805.0","30743.0","97340.0","263696.0","262989.0","425241.0","737760.0","1787026.0","-6769.0","2247.0","73.0","143.0","834.0","4489.0","-2652.0","133.0","5568.0","-11103.0","-3565.0","West Virginia","-0.0040754693352391125","0.030518695587216645","0.009758053736131533","0.008031451839370964","0.02712812672803565","0.046116704335319496","-0.010057035374067108","0.0005057245740316135","0.013093751543242538","-0.01504960962914769","-0.001994934600839607"
"Wisconsin","2.0","3.0","55.0","4797521.0","426669.0","77192.0","194759.0","423845.0","345107.0","933944.0","933197.0","1418572.0","2244482.0","5875302.0","-17385.0","14669.0","1027.0","2188.0","11978.0","17319.0","-4733.0","5256.0","23643.0","-30221.0","11264.0","Wisconsin","-0.0036237465140850867","0.03438028073283974","0.01330448751165924","0.011234397383432859","0.028260331017235074","0.05018443555187232","-0.005067755668434082","0.005632251282419468","0.016666760657901045","-0.01346457668183572","0.0019171780446349822"
"Wyoming","4.0","8.0","56.0","479011.0","9395.0","17077.0","7626.0","57854.0","36555.0","95250.0","84698.0","140160.0","208510.0","565173.0","-1509.0","285.0","229.0","64.0","1585.0","1773.0","-727.0","267.0","2122.0","-2909.0","526.0","Wyoming","-0.0031502408086661895","0.03033528472591804","0.01340984950518241","0.008392341987936008","0.02739654993604591","0.04850225687320476","-0.00763254593175853","0.003152376679496564","0.015139840182648402","-0.013951369238885425","0.0009306884794567327"
"US total","","","","202182875.0","46934263.0","4834392.0","22487948.0","62076890.0","20466548.0","53568790.0","54035697.0","85320705.0","118700600.0","332092340.0","-597779.0","1518821.0","67258.0","219100.0","1763733.0","1163681.0","51840.0","595283.0","1967075.0","-985174.0","2792705.0","US total","-0.0029566252829276466","0.032360601891202594","0.013912400980309417","0.009742996559757253","0.028412070901103453","0.05685770751374389","0.0009677276638132017","0.011016476756096993","0.023055072036734812","-0.008299654761644001","0.008409423114065203"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","0.007466642003151712","0.03977078927621257","0.020665038512117227","0.01828965589318841","0.032297267437578256","0.06559387929062974","0.015380399410817662","0.018381722444883414","0.031065750936832545","0.008695833181550887","0.02271877973730456"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.005596040975835056","0.029727872743550772","0.009443593670239918","0.006785227013510199","0.025919080807855887","0.04382997278481964","-0.011268549079771172","-0.00027733185423011077","0.011904466347228084","-0.016003326063158317","-0.0036329277435490307"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00504353933739621"
